Feature,Importance
weather_conditions_4.0,0.0008043390787333246
police_force_97.0,0.0008042329096109767
weather_conditions_5.0,0.000754344103336792
police_force_23.0,0.000747150668437054
police_force_34.0,0.0007427187722565416
police_force_36.0,0.0007351456106518347
police_force_63.0,0.0006901748766216789
police_force_54.0,0.0006638148454749255
police_force_3.0,0.0006569939274594795
police_force_60.0,0.0006541324473317709
most_common_casualty_type_2.0,0.0006518020273306253
police_force_53.0,0.0006271516948021614
police_force_55.0,0.0006122770678587583
police_force_40.0,0.0006074433892823219
left_hand_drive_count_18.0,0.0006068599811430845
police_force_11.0,0.0005941701899706967
police_force_37.0,0.0005893922686188074
road_type_7.0,0.0005295142819629443
carriageway_hazards_17.0,0.00052115718988277
police_force_95.0,0.0005082464077110897
most_common_casualty_type_90.0,0.0005044510927899593
light_conditions_5.0,0.0004999774149452723
left_hand_drive_count_10.0,0.0004909231295619597
special_conditions_at_site_4.0,0.00045861895090120494
carriageway_hazards_13.0,0.00045588091000064025
police_force_61.0,0.00045109986800959074
junction_detail_17.0,0.00044231406412687945
police_force_92.0,0.0004253946675921485
most_common_casualty_type_22.0,0.0004045981215322798
weather_conditions_7.0,0.00038873178005375647
pedestrian_crossing_12.0,0.00037763557658921
junction_control_0.0,0.00037438760260721733
most_common_casualty_type_21.0,0.0003694666350811037
road_type_9.0,0.00036326298094082276
police_force_17.0,0.00035768503694195763
left_hand_drive_count_5.0,0.0003477467715994665
carriageway_hazards_20.0,0.0003231170617672219
most_common_casualty_type_97.0,0.00031761121400905037
police_force_93.0,0.0002728810283212366
left_hand_drive_count_9.0,0.0002546211921122831
police_force_91.0,0.00024740615546661824
second_road_class_1.0,0.00024323902259308294
road_surface_conditions_3.0,0.00024107818619950074
weather_conditions_3.0,0.00023603724753889623
junction_control_3.0,0.00021234337013601763
junction_control_9.0,0.00019948254930111825
police_force_96.0,0.00017027718269012581
special_conditions_at_site_9.0,0.00016975563465623626
carriageway_hazards_18.0,0.0001656933111699512
pedestrian_crossing_16.0,0.00016006281185987917
first_road_class_2,0.0001569975298076146
carriageway_hazards_15.0,0.00014151908270163588
police_force_94.0,0.00014149960596665712
left_hand_drive_count_6.0,0.00014087949087052284
carriageway_hazards_21.0,0.00013710038570425136
special_conditions_at_site_7.0,0.00013177224355062094
special_conditions_at_site_5.0,0.00011825201425897525
pedestrian_crossing_11.0,0.00011452316891907898
most_common_casualty_type_20.0,0.0001116628776623752
police_force_48.0,0.00011133319557033257
most_common_casualty_type_23.0,0.00010187169731313718
carriageway_hazards_19.0,0.00010137313901850682
carriageway_hazards_14.0,9.944258116271287e-05
road_surface_conditions_5.0,9.579226320964613e-05
carriageway_hazards_11.0,9.526169781253221e-05
special_conditions_at_site_1.0,9.024194724807375e-05
road_surface_conditions_9.0,8.753271223998336e-05
most_common_casualty_type_10.0,8.602373345537213e-05
special_conditions_at_site_6.0,8.433192170732941e-05
junction_control_1.0,8.199815210698079e-05
most_common_casualty_type_17.0,6.93691990238373e-05
left_hand_drive_count_7.0,5.602578982237493e-05
most_common_casualty_type_16.0,5.241079887637062e-05
carriageway_hazards_12.0,4.6609779801546876e-05
carriageway_hazards_16.0,4.60405098131331e-05
special_conditions_at_site_3.0,4.486962794362859e-05
left_hand_drive_count_8.0,4.222569000419351e-05
weather_conditions_6.0,3.7909681999186873e-05
second_road_class_2.0,2.6447380647549755e-05
left_hand_drive_count_0.0,1.4861775796911925e-05
left_hand_drive_count_11.0,1.4440890684727479e-05
left_hand_drive_count_27.0,1.3084739121678147e-05
left_hand_drive_count_-2.0,1.2316802488627853e-05
left_hand_drive_count_19.0,7.687659122746521e-06
special_conditions_at_site_2.0,7.644404002961376e-06
urban_or_rural_area_3.0,1.3020799309624292e-06
left_hand_drive_count_28.0,9.881548358932971e-07
left_hand_drive_count_12.0,7.63254083168887e-07
most_common_casualty_type_18.0,3.6570290930188346e-07
left_hand_drive_count_13.0,3.238836519705273e-07
left_hand_drive_count_36.0,1.999830368781904e-07
left_hand_drive_count_-3.0,1.9748101128277267e-07
left_hand_drive_count_20.0,9.740848517213222e-08
left_hand_drive_count_16.0,6.787229082192698e-09
left_hand_drive_count_45.0,6.0171492868556946e-09
second_road_class_9.0,0.0
left_hand_drive_count_-6.0,0.0
left_hand_drive_count_-7.0,0.0
left_hand_drive_count_-4.0,0.0
left_hand_drive_count_-5.0,0.0
left_hand_drive_count_17.0,0.0
left_hand_drive_count_15.0,0.0
left_hand_drive_count_14.0,0.0
left_hand_drive_count_21.0,0.0
left_hand_drive_count_37.0,0.0
left_hand_drive_count_29.0,0.0
left_hand_drive_count_43.0,0.0
left_hand_drive_count_46.0,0.0
left_hand_drive_count_22.0,0.0
left_hand_drive_count_23.0,0.0
left_hand_drive_count_24.0,0.0
left_hand_drive_count_26.0,0.0
left_hand_drive_count_81.0,0.0
left_hand_drive_count_117.0,0.0
left_hand_drive_count_67.0,0.0
left_hand_drive_count_72.0,0.0
left_hand_drive_count_63.0,0.0
left_hand_drive_count_55.0,0.0
left_hand_drive_count_48.0,0.0
left_hand_drive_count_54.0,0.0
